date,count,count2,bucket,word,wordsmallcaps
01/01/2005,100,100,Supermarkets,Supermarkets,supermarkets
01/02/2005,93.87747731,93.87747731,Supermarkets,Supermarkets,supermarkets
01/03/2005,105.4868564,105.4868564,Supermarkets,Supermarkets,supermarkets
01/04/2005,99.55863599,99.55863599,Supermarkets,Supermarkets,supermarkets
01/05/2005,108.4853567,108.4853567,Supermarkets,Supermarkets,supermarkets
01/01/2005,100,100,Bakers & dairies,Bakers & dairies,bakers & dairies
01/02/2005,99.40599585,99.40599585,Bakers & dairies,Bakers & dairies,bakers & dairies
01/03/2005,118.4938606,118.4938606,Bakers & dairies,Bakers & dairies,bakers & dairies
01/04/2005,105.0629884,105.0629884,Bakers & dairies,Bakers & dairies,bakers & dairies
01/05/2005,122.8233137,122.8233137,Bakers & dairies,Bakers & dairies,bakers & dairies
01/01/2005,100,100,Sweet stores,Sweet stores,sweet stores
01/02/2005,149.6606315,149.6606315,Sweet stores,Sweet stores,sweet stores
01/03/2005,281.866787,281.866787,Sweet stores,Sweet stores,sweet stores
01/04/2005,106.9974135,106.9974135,Sweet stores,Sweet stores,sweet stores
01/05/2005,114.4235944,114.4235944,Sweet stores,Sweet stores,sweet stores
01/01/2005,100,100,Miscellaneous foodstores,Miscellaneous foodstores,miscellaneous foodstores
01/02/2005,98.92953708,98.92953708,Miscellaneous foodstores,Miscellaneous foodstores,miscellaneous foodstores
01/03/2005,113.0317654,113.0317654,Miscellaneous foodstores,Miscellaneous foodstores,miscellaneous foodstores
01/04/2005,108.7846569,108.7846569,Miscellaneous foodstores,Miscellaneous foodstores,miscellaneous foodstores
01/05/2005,118.3983279,118.3983279,Miscellaneous foodstores,Miscellaneous foodstores,miscellaneous foodstores
01/01/2005,100,100,Off-licences,Off-licences,off licences
01/02/2005,99.76952538,99.76952538,Off-licences,Off-licences,off licences
01/03/2005,110.2400212,110.2400212,Off-licences,Off-licences,off licences
01/04/2005,108.131009,108.131009,Off-licences,Off-licences,off licences
01/05/2005,125.2064668,125.2064668,Off-licences,Off-licences,off licences
01/06/2005,102.82,"30,516,337",Supermarkets,Supermarkets,supermarkets
01/07/2005,104.65,"31,060,104",Supermarkets,Supermarkets,supermarkets
01/08/2005,108.28,"32,137,328",Supermarkets,Supermarkets,supermarkets
01/09/2005,100.35,"29,784,577",Supermarkets,Supermarkets,supermarkets
01/10/2005,104.16,"30,914,561",Supermarkets,Supermarkets,supermarkets
01/11/2005,105.45,"31,298,959",Supermarkets,Supermarkets,supermarkets
01/12/2005,116.23,"34,497,591",Supermarkets,Supermarkets,supermarkets
01/01/2006,99.67,"29,581,093",Supermarkets,Supermarkets,supermarkets
01/02/2006,91.65,"27,203,035",Supermarkets,Supermarkets,supermarkets
01/03/2006,101.40,"30,094,563",Supermarkets,Supermarkets,supermarkets
01/04/2006,96.23,"28,562,374",Supermarkets,Supermarkets,supermarkets
01/05/2006,107.18,"31,810,469",Supermarkets,Supermarkets,supermarkets
01/06/2006,105.08,"31,187,323",Supermarkets,Supermarkets,supermarkets
01/07/2006,109.14,"32,394,190",Supermarkets,Supermarkets,supermarkets
01/08/2006,102.46,"30,409,946",Supermarkets,Supermarkets,supermarkets
01/09/2006,97.05,"28,804,669",Supermarkets,Supermarkets,supermarkets
01/10/2006,105.84,"31,412,595",Supermarkets,Supermarkets,supermarkets
01/11/2006,104.47,"31,007,703",Supermarkets,Supermarkets,supermarkets
01/12/2006,114.20,"33,894,957",Supermarkets,Supermarkets,supermarkets
01/01/2007,102.26,"30,350,437",Supermarkets,Supermarkets,supermarkets
01/02/2007,91.66,"27,205,441",Supermarkets,Supermarkets,supermarkets
01/03/2007,101.46,"30,114,398",Supermarkets,Supermarkets,supermarkets
01/04/2007,104.68,"31,068,625",Supermarkets,Supermarkets,supermarkets
01/05/2007,105.34,"31,265,841",Supermarkets,Supermarkets,supermarkets
01/06/2007,104.05,"30,883,337",Supermarkets,Supermarkets,supermarkets
01/07/2007,112.96,"33,527,995",Supermarkets,Supermarkets,supermarkets
01/08/2007,105.59,"31,338,119",Supermarkets,Supermarkets,supermarkets
01/09/2007,99.97,"29,672,174",Supermarkets,Supermarkets,supermarkets
01/10/2007,117.62,"34,909,540",Supermarkets,Supermarkets,supermarkets
01/11/2007,138.56,"41,123,239",Supermarkets,Supermarkets,supermarkets
01/12/2007,157.38,"46,709,441",Supermarkets,Supermarkets,supermarkets
01/01/2008,123.26,"36,583,531",Supermarkets,Supermarkets,supermarkets
01/02/2008,121.38,"36,025,502",Supermarkets,Supermarkets,supermarkets
01/03/2008,131.43,"39,009,175",Supermarkets,Supermarkets,supermarkets
01/04/2008,124.37,"36,913,350",Supermarkets,Supermarkets,supermarkets
01/05/2008,131.50,"39,028,504",Supermarkets,Supermarkets,supermarkets
01/06/2008,133.46,"39,610,998",Supermarkets,Supermarkets,supermarkets
01/07/2008,133.20,"39,534,177",Supermarkets,Supermarkets,supermarkets
01/08/2008,124.53,"36,960,389",Supermarkets,Supermarkets,supermarkets
01/09/2008,132.51,"39,327,734",Supermarkets,Supermarkets,supermarkets
01/10/2008,132.97,"39,465,968",Supermarkets,Supermarkets,supermarkets
01/11/2008,128.82,"38,233,071",Supermarkets,Supermarkets,supermarkets
01/12/2008,164.02,"48,682,043",Supermarkets,Supermarkets,supermarkets
01/01/2009,120.49,"35,761,671",Supermarkets,Supermarkets,supermarkets
01/02/2009,114.61,"34,016,567",Supermarkets,Supermarkets,supermarkets
01/03/2009,135.34,"40,169,169",Supermarkets,Supermarkets,supermarkets
01/04/2009,129.77,"38,514,738",Supermarkets,Supermarkets,supermarkets
01/05/2009,131.16,"38,928,813",Supermarkets,Supermarkets,supermarkets
01/06/2009,141.05,"41,865,176",Supermarkets,Supermarkets,supermarkets
01/07/2009,138.26,"41,036,548",Supermarkets,Supermarkets,supermarkets
01/08/2009,124.33,"36,900,488",Supermarkets,Supermarkets,supermarkets
01/09/2009,139.38,"41,366,642",Supermarkets,Supermarkets,supermarkets
01/10/2009,136.12,"40,400,520",Supermarkets,Supermarkets,supermarkets
01/11/2009,145.73,"43,251,600",Supermarkets,Supermarkets,supermarkets
01/12/2009,161.84,"48,034,406",Supermarkets,Supermarkets,supermarkets
01/01/2010,120.29,"35,702,073",Supermarkets,Supermarkets,supermarkets
01/02/2010,119.96,"35,604,120",Supermarkets,Supermarkets,supermarkets
01/03/2010,144.69,"42,944,628",Supermarkets,Supermarkets,supermarkets
01/04/2010,135.76,"40,292,606",Supermarkets,Supermarkets,supermarkets
01/05/2010,133.55,"39,637,489",Supermarkets,Supermarkets,supermarkets
01/06/2010,151.83,"45,062,932",Supermarkets,Supermarkets,supermarkets
01/07/2010,143.10,"42,473,245",Supermarkets,Supermarkets,supermarkets
01/08/2010,141.31,"41,941,737",Supermarkets,Supermarkets,supermarkets
01/09/2010,135.78,"40,298,861",Supermarkets,Supermarkets,supermarkets
01/10/2010,138.08,"40,982,610",Supermarkets,Supermarkets,supermarkets
01/11/2010,155.38,"46,117,861",Supermarkets,Supermarkets,supermarkets
01/12/2010,163.35,"48,483,708",Supermarkets,Supermarkets,supermarkets
01/01/2011,139.44,"41,387,062",Supermarkets,Supermarkets,supermarkets
01/02/2011,131.89,"39,145,335",Supermarkets,Supermarkets,supermarkets
01/03/2011,146.38,"43,446,345",Supermarkets,Supermarkets,supermarkets
01/04/2011,151.48,"44,959,229",Supermarkets,Supermarkets,supermarkets
01/05/2011,154.09,"45,733,354",Supermarkets,Supermarkets,supermarkets
01/06/2011,156.96,"46,586,050",Supermarkets,Supermarkets,supermarkets
01/07/2011,158.06,"46,912,319",Supermarkets,Supermarkets,supermarkets
01/08/2011,166.19,"49,324,554",Supermarkets,Supermarkets,supermarkets
01/09/2011,155.31,"46,096,859",Supermarkets,Supermarkets,supermarkets
01/10/2011,165.27,"49,052,064",Supermarkets,Supermarkets,supermarkets
01/11/2011,170.33,"50,553,261",Supermarkets,Supermarkets,supermarkets
01/12/2011,189.24,"56,166,436",Supermarkets,Supermarkets,supermarkets
01/01/2012,158.50,"47,042,759",Supermarkets,Supermarkets,supermarkets
01/02/2012,152.17,"45,164,000",Supermarkets,Supermarkets,supermarkets
01/03/2012,131.32,"38,976,266",Supermarkets,Supermarkets,supermarkets
01/04/2012,163.82,"48,621,512",Supermarkets,Supermarkets,supermarkets
01/05/2012,172.86,"51,305,674",Supermarkets,Supermarkets,supermarkets
01/06/2012,165.63,"49,159,158",Supermarkets,Supermarkets,supermarkets
01/07/2012,181.82,"53,965,142",Supermarkets,Supermarkets,supermarkets
01/08/2012,175.54,"52,101,468",Supermarkets,Supermarkets,supermarkets
01/09/2012,165.54,"49,133,631",Supermarkets,Supermarkets,supermarkets
01/10/2012,187.51,"55,654,394",Supermarkets,Supermarkets,supermarkets
01/11/2012,186.86,"55,459,824",Supermarkets,Supermarkets,supermarkets
01/12/2012,209.06,"62,047,806",Supermarkets,Supermarkets,supermarkets
01/01/2013,168.90,"50,130,902",Supermarkets,Supermarkets,supermarkets
01/02/2013,160.37,"47,598,002",Supermarkets,Supermarkets,supermarkets
01/03/2013,174.80,"51,880,030",Supermarkets,Supermarkets,supermarkets
01/04/2013,155.65,"46,196,999",Supermarkets,Supermarkets,supermarkets
01/05/2013,187.73,"55,717,638",Supermarkets,Supermarkets,supermarkets
01/06/2013,180.00,"53,425,041",Supermarkets,Supermarkets,supermarkets
01/07/2013,206.18,"61,193,349",Supermarkets,Supermarkets,supermarkets
01/08/2013,185.15,"54,952,089",Supermarkets,Supermarkets,supermarkets
01/09/2013,188.73,"56,015,029",Supermarkets,Supermarkets,supermarkets
01/10/2013,192.36,"57,093,638",Supermarkets,Supermarkets,supermarkets
01/11/2013,196.26,"58,248,997",Supermarkets,Supermarkets,supermarkets
01/12/2013,224.62,"66,668,040",Supermarkets,Supermarkets,supermarkets
01/01/2014,182.72,"54,229,964",Supermarkets,Supermarkets,supermarkets
01/02/2014,170.63,"50,643,647",Supermarkets,Supermarkets,supermarkets
01/03/2014,197.07,"58,491,519",Supermarkets,Supermarkets,supermarkets
01/04/2014,192.04,"56,997,774",Supermarkets,Supermarkets,supermarkets
01/06/2005,91.80,"23,027",Bakers & dairies,Bakers & dairies,bakers & dairies
01/07/2005,119.60,"30,000",Bakers & dairies,Bakers & dairies,bakers & dairies
01/08/2005,121.88,"30,573",Bakers & dairies,Bakers & dairies,bakers & dairies
01/09/2005,114.70,"28,771",Bakers & dairies,Bakers & dairies,bakers & dairies
01/10/2005,123.70,"31,030",Bakers & dairies,Bakers & dairies,bakers & dairies
01/11/2005,128.02,"32,112",Bakers & dairies,Bakers & dairies,bakers & dairies
01/12/2005,153.87,"38,598",Bakers & dairies,Bakers & dairies,bakers & dairies
01/01/2006,107.21,"26,893",Bakers & dairies,Bakers & dairies,bakers & dairies
01/02/2006,109.45,"27,455",Bakers & dairies,Bakers & dairies,bakers & dairies
01/03/2006,125.59,"31,502",Bakers & dairies,Bakers & dairies,bakers & dairies
01/04/2006,120.14,"30,136",Bakers & dairies,Bakers & dairies,bakers & dairies
01/05/2006,133.62,"33,516",Bakers & dairies,Bakers & dairies,bakers & dairies
01/06/2006,128.07,"32,126",Bakers & dairies,Bakers & dairies,bakers & dairies
01/07/2006,133.36,"33,453",Bakers & dairies,Bakers & dairies,bakers & dairies
01/08/2006,128.33,"32,191",Bakers & dairies,Bakers & dairies,bakers & dairies
01/09/2006,127.55,"31,995",Bakers & dairies,Bakers & dairies,bakers & dairies
01/10/2006,143.82,"36,077",Bakers & dairies,Bakers & dairies,bakers & dairies
01/11/2006,147.07,"36,890",Bakers & dairies,Bakers & dairies,bakers & dairies
01/12/2006,181.05,"45,415",Bakers & dairies,Bakers & dairies,bakers & dairies
01/01/2007,116.06,"29,113",Bakers & dairies,Bakers & dairies,bakers & dairies
01/02/2007,115.75,"29,034",Bakers & dairies,Bakers & dairies,bakers & dairies
01/03/2007,133.14,"33,398",Bakers & dairies,Bakers & dairies,bakers & dairies
01/04/2007,134.91,"33,841",Bakers & dairies,Bakers & dairies,bakers & dairies
01/05/2007,137.49,"34,487",Bakers & dairies,Bakers & dairies,bakers & dairies
01/06/2007,139.18,"34,913",Bakers & dairies,Bakers & dairies,bakers & dairies
01/07/2007,148.55,"37,263",Bakers & dairies,Bakers & dairies,bakers & dairies
01/08/2007,143.84,"36,081",Bakers & dairies,Bakers & dairies,bakers & dairies
01/09/2007,138.01,"34,619",Bakers & dairies,Bakers & dairies,bakers & dairies
01/10/2007,157.40,"39,481",Bakers & dairies,Bakers & dairies,bakers & dairies
01/11/2007,162.07,"40,654",Bakers & dairies,Bakers & dairies,bakers & dairies
01/12/2007,203.14,"50,955",Bakers & dairies,Bakers & dairies,bakers & dairies
01/01/2008,134.94,"33,849",Bakers & dairies,Bakers & dairies,bakers & dairies
01/02/2008,146.41,"36,726",Bakers & dairies,Bakers & dairies,bakers & dairies
